968259	-308	506	730
968273	-316	504	708
968286	-315	505	702
968299	-298	510	718
968312	-296	511	736
968325	-286	515	767
968338	-292	514	773
968351	-295	511	767
968364	-277	515	755
968377	-303	509	745
968390	-300	506	746
968404	-297	505	741
968417	-288	507	768
968430	-277	511	788
968443	-256	524	850
968456	-239	537	867
968469	-241	564	893
968482	-232	606	895
968495	-228	646	897
968508	-273	759	912
968523	-364	907	973
968535	-400	963	1046
968548	-503	993	1327
968562	-531	953	1674
968575	-550	905	1767
968588	-620	813	1694
968601	-722	754	1333
968614	-782	728	1159
968628	-877	648	883
968640	-883	615	774
968653	-850	550	582
968666	-736	512	384
968680	-668	501	284
968693	-532	473	109
968706	-433	440	-23
968719	-389	411	-73
968732	-275	375	-161
968745	-180	340	-209
968758	-161	314	-236
968771	-155	259	-261
968784	-157	236	-260
968797	-180	190	-266
968810	-222	128	-213
968824	-250	93	-185
968837	-313	44	-95
968850	-388	-7	-45
968863	-411	-32	-22
968876	-433	-55	91
968889	-440	-75	153
968902	-451	-120	274
968915	-471	-166	400
968928	-486	-189	469
968941	-485	-222	596
968955	-420	-209	688
968968	-396	-207	741
968981	-356	-205	850
968993	-310	-204	919
969007	-211	-168	971
969020	-184	-142	1037
969033	-179	-114	1058
969046	-194	-63	1069
969059	-202	-56	1017
969072	-193	-45	955
969086	-163	1	899
969098	-158	28	992
969112	-163	24	1081
969125	-91	34	1259
969137	-37	37	1306
969150	11	41	1310
969164	0	25	1227
969177	-34	1	1214
969190	-104	-47	1374
969203	-126	-62	1756
969217	-114	-61	1938
969230	-144	-76	2121
969242	-172	-104	2153
969255	-273	-193	2123
969269	-549	-293	2078
969281	-649	-339	2085
969295	-828	-387	2055
969308	-884	-409	2121
969321	-897	-421	2128
969334	-1095	-499	2058
969347	-1430	-558	2035
969360	-1596	-591	1992
969374	-1861	-603	1874
969386	-1905	-583	1829
969399	-1831	-468	1638
969412	-1709	-404	1327
969426	-1655	-383	1144
969439	-1756	-364	808
969452	-1952	-362	732
969465	-1982	-300	783
969479	-1827	-123	932
969491	-1700	-67	936
969504	-1481	-56	822
969517	-1303	-57	654
969531	-1250	-48	602
969544	-1199	-8	541
969558	-1164	21	604
969570	-1119	23	648
969584	-1009	34	582
969597	-928	36	409
969610	-904	11	341
969623	-841	-23	230
969636	-746	36	100
969649	-685	72	73
969662	-594	109	56
969675	-559	98	68
969688	-517	52	-8
969701	-449	30	-145
969714	-410	19	-201
969728	-370	-2	-262
969741	-350	-8	-294
969754	-331	-16	-293
969767	-265	-36	-221
969780	-246	-45	-167
969793	-233	-61	44
969806	-230	-90	169
969819	-199	-88	249
969832	-75	-60	446
969845	73	-68	582
969859	158	-57	647
969872	315	-1	809
969884	370	23	914
969897	494	96	1208
969911	581	157	1432
969923	594	175	1477
