1121672	272	898	487
1121685	270	890	337
1121698	207	869	251
1121711	-14	826	74
1121724	-133	801	125
1121737	-154	792	203
1121752	-211	720	193
1121765	-402	664	16
1121778	-545	658	-63
1121791	-786	651	95
1121805	-900	680	396
1121818	-925	694	478
1121831	-1015	683	494
1121844	-1095	715	427
1121857	-1150	707	390
1121871	-1254	676	392
1121883	-1275	661	376
1121896	-1261	672	341
1121909	-1264	636	400
1121922	-1242	599	396
1121936	-1125	558	353
1121949	-962	537	257
1121962	-911	525	219
1121975	-851	495	144
1121988	-814	496	113
1122001	-762	448	77
1122014	-689	399	64
1122027	-633	375	95
1122040	-521	354	224
1122053	-379	365	373
1122066	-306	390	423
1122080	-234	387	480
1122092	-167	375	514
1122106	-136	354	565
1122119	-66	336	703
1122131	-48	324	741
1122144	-24	301	773
1122158	-43	264	741
1122171	-36	235	724
1122184	-11	172	722
1122197	34	118	718
1122211	79	92	753
1122224	214	47	829
1122236	277	12	866
1122249	433	-11	933
1122262	533	-32	996
1122276	560	-54	1018
1122289	650	-72	987
1122302	750	-98	982
1122315	761	-116	991
1122329	746	-161	955
1122341	764	-174	922
1122354	827	-187	893
1122367	930	-178	932
1122380	946	-193	955
1122393	1021	-160	882
1122407	990	-235	1055
1122420	1026	-198	1057
1122433	1000	-129	1152
1122446	960	-139	1270
1122460	977	-152	1303
1122473	1044	-135	1285
1122485	1086	-122	1269
1122498	1094	-111	1233
1122512	1053	-135	1214
1122525	1016	-121	1187
1122538	912	-100	1130
1122551	865	-103	1127
1122564	848	-102	1138
1122577	792	-81	1096
1122590	683	-88	1075
1122604	588	-101	1060
1122617	443	-108	1023
1122629	393	-104	988
1122642	312	-99	903
1122656	208	-107	772
1122669	148	-120	689
1122682	0	-135	549
1122695	-182	-125	416
1122708	-276	-106	351
1122722	-502	-64	226
1122734	-627	-45	198
1122749	-879	-10	256
1122762	-1060	82	396
1122774	-1090	163	483
1122787	-1086	279	619
1122801	-1038	366	630
1122813	-1033	388	586
1122827	-1082	406	512
1122840	-1126	476	557
1122853	-1145	497	593
1122866	-1117	533	663
1122879	-1117	524	715
1122892	-1095	507	742
1122906	-1058	521	748
1122918	-1065	521	753
1122931	-1060	489	723
1122944	-1066	621	876
1122958	-1032	684	978
1122971	-1008	784	1201
1122984	-977	800	1236
1122997	-956	789	1217
1123011	-866	771	1197
1123023	-806	756	1222
1123036	-650	744	1266
1123049	-574	730	1310
1123062	-574	708	1348
1123076	-578	642	1414
1123089	-527	545	1460
1123102	-494	494	1483
1123115	-360	422	1566
1123128	-228	322	1628
1123141	-156	288	1626
1123154	-25	219	1597
1123167	46	191	1576
1123180	180	131	1515
1123193	249	61	1406
1123206	198	-67	1463
1123220	266	13	1197
1123232	345	-3	1210
1123246	347	14	1211
1123259	282	-10	1268
1123271	243	-22	1256
