1179611	460	206	75
1179624	417	193	96
1179638	382	175	147
1179650	334	138	165
1179663	374	144	212
1179676	376	112	187
1179689	341	76	165
1179702	234	51	157
1179716	124	50	117
1179729	66	44	89
1179742	-35	68	26
1179754	-92	78	7
1179768	-179	110	-40
1179781	-242	135	-186
1179794	-235	161	-205
1179807	-260	162	-267
1179820	-250	173	-302
1179833	-270	182	-297
1179847	-322	192	-240
1179860	-368	176	-73
1179873	-350	159	65
1179886	-256	155	340
1179898	-168	155	496
1179912	-70	151	744
1179925	53	202	1008
1179938	107	212	1103
1179951	210	241	1209
1179964	246	307	1134
1179978	226	321	1058
1179991	167	291	966
1180003	98	264	978
1180016	24	241	1027
1180030	65	264	991
1180042	127	293	969
1180056	171	329	959
1180069	215	231	1191
1180082	261	197	1231
1180095	332	182	1186
1180108	353	176	1149
1180121	342	173	1117
1180134	354	104	1218
1180147	384	68	1231
1180160	447	-20	1220
1180173	587	-54	1341
1180186	653	-90	1524
1180200	770	-102	1889
1180212	784	-78	1986
1180225	838	-58	2095
1180238	883	-75	2164
1180251	868	-66	2158
1180264	769	-39	2185
1180278	741	5	2284
1180291	761	18	2352
1180304	736	48	2399
1180316	687	57	2373
1180329	532	82	2262
1180343	380	90	2143
1180355	340	97	2104
1180369	320	124	2001
1180382	313	113	1852
1180395	294	89	1759
1180408	228	20	1505
1180421	200	25	1350
1180434	149	40	1118
1180447	47	14	1035
1180461	-7	7	1012
1180474	-82	-25	933
1180488	-151	-79	701
1180500	-140	-83	589
1180513	-85	-113	392
1180526	-112	-150	255
1180540	-136	-158	186
1180553	-185	-149	71
1180566	-266	-159	-45
1180579	-296	-157	-121
1180592	-314	-144	-261
1180604	-337	-129	-345
1180618	-391	-63	-508
1180631	-416	-4	-635
1180644	-449	4	-658
1180657	-469	35	-704
1180671	-414	10	-727
1180684	-383	-15	-677
1180697	-349	-57	-562
1180710	-316	-59	-523
1180723	-255	-37	-347
1180736	-224	-57	-113
1180749	-201	-61	11
1180762	-128	-74	200
1180775	-36	-37	416
1180788	-5	-9	569
1180802	-7	78	865
1180814	12	136	1124
1180828	5	165	1176
1180841	-42	157	1197
1180853	-119	146	1161
1180866	18	169	939
1180880	496	442	824
1180893	542	501	935
1180906	334	674	1355
1180919	347	779	1568
1180932	392	800	1682
1180945	499	792	1791
1180958	533	839	1745
1180971	452	948	1602
1180984	218	945	1602
1180997	136	929	1654
1181011	57	953	1662
1181024	-24	931	1609
1181037	-62	906	1585
1181050	-93	848	1535
1181063	-111	839	1520
1181076	-162	795	1528
1181089	-170	744	1516
1181102	-169	718	1494
1181115	-184	701	1350
1181128	-259	582	1291
1181142	-237	607	1144
1181155	-170	578	935
